Source ID,Source Name,Author,Title,Description,URL,URL To Image,Published At,Content
,/FILM,staff@slashfilm.com (Ben Pearson),Bob Iger's 'Supervision' Comment About The Marvels Crossed A Line,"On today&amp;#39;s episode of the /Film Daily podcast, Ben and BJ talk about Bob Iger&amp;#39;s absurd comment about The Marvels and whether the Disney CEO is losing his touch.",https://www.slashfilm.com/1460560/bob-iger-supervision-comment-the-marvels-crossed-line/,https://www.slashfilm.com/img/gallery/bob-igers-supervision-comment-about-the-marvels-crossed-a-line/l-intro-1701455102.jpg,2023-12-01T21:28:05Z,"For years, Bob Iger has been seen as one of the most level-headed and respected studio chiefs in Hollywood. The two-time Walt Disney Company CEO has been widely praised for his shrewd deal-making (th… [+1549 chars]"
,IndieWire,Tom Brueggemann,Only One 2023 Movie with a Budget Over $200 Million Has Made a Profit (So Far) This Year,"And there's no assurance that others will follow suit. As ""Wish"" and ""Napoleon"" join the $200 Million Club, we examine the increasingly slippery slope of making money on very big-budget movies.",https://www.indiewire.com/news/box-office/2023-movies-200-million-budget-1234928420/,https://www.indiewire.com/wp-content/uploads/2023/05/guardians-of-the-galaxy-vol-3_Mnuri2-1024x683-1.jpg,2023-11-27T19:00:00Z,"With animated tale “Wish” (Disney) and Amazon’s historical epic “Napoleon” (Sony) both opening last week on November 22, we now have 13 releases in 2023 that cost $200 million or more; when “Aquaman … [+6602 chars]"
,Forbes,"Mark Hughes, Contributor, 
 Mark Hughes, Contributor
 https://www.forbes.com/sites/markhughes/","‘The Marvels’ Makes Box Office History, ‘The Hunger Games’ Eyes #1 Spot","What cost ""The Marvels"" the box office crown for November, and will ""The Hunger Games: The Ballad of Songbirds and Snakes"" become the month's box office royalty?",https://www.forbes.com/sites/markhughes/2023/11/16/the-marvels-makes-box-office-history-the-hunger-games-eyes-1-spot/,https://imageio.forbes.com/specials-images/imageserve/655599a3039693c028c14a3f/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2023-11-16T13:00:00Z,"While Marvel Studios expected The Marvels to blast off to higher box office last weekend, the Captain Marvel sequel from Nia DaCosta still topped the box office for the weekend and officially became … [+7388 chars]"
,/FILM,staff@slashfilm.com (Jacob Hall),How The Ballad Of Songbirds And Snakes Director Made A Vital Hunger Games Prequel [Exclusive Interview],"We sat down with director Francis Lawrence to talk about the intricacies of his new Hunger Games prequel, The Ballad of Songbirds and Snakes.",https://www.slashfilm.com/1449530/hunger-games-ballad-of-songbirds-and-snakes-director-francis-lawrence-interview/,https://www.slashfilm.com/img/gallery/how-the-ballad-of-songbirds-and-snakes-director-made-a-vital-hunger-games-prequel-exclusive-interview/l-intro-1700232610.jpg,2023-11-17T16:14:35Z,"So this is clearly Panem, but decades before the original movies. The reverse engineering of what this world looks like 70 years earlier fascinates me. Can you talk about the directives you and your … [+3978 chars]"
,Kotaku,Levi Winslow,Spider-Man 2 Reportedly Cut A Ton Of Venom Content,"About one month on from Marvel’s Spider-Man 2's launch, we’re learning some new details about Insomniac Games’ open-world robber-stopper RPG. According to a report by YouTuber Evan Filarca, the game had a ton of content cut before releasing on October 20, par…",https://kotaku.com/spider-man-2-miles-morales-venom-symbiote-cut-content-1851048904,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/7797015c8c0c7a626f05c02f05b14006.jpg",2023-11-27T16:15:00Z,"About one month on fromMarvels Spider-Man 2's launch, were learning some new details about Insomniac Games open-world robber-stopper RPG. According to a report by YouTuber Evan Filarca, the game had … [+2415 chars]"
,GameSpot,Phil Owen,The Hunger Games: The Ballad Of Songbirds And Snakes Review - Series Best,"I wasn't really worried about whether director Francis Lawrence, who shepherded three of the four previous Hunger Games movies, would deliver a very well made and watchable flick with The Hunger Games: A Ballad of Songbirds and Snakes. But I was worried that …",https://www.gamespot.com/reviews/the-hunger-games-the-ballad-of-songbirds-and-snakes-review-series-best/1900-6418155/,https://www.gamespot.com/a/uploads/screen_kubrick/123/1239113/4218191-hungergames.jpeg,2023-11-09T19:00:00Z,"I wasn't really worried about whether director Francis Lawrence, who shepherded three of the four previous Hunger Games movies, would deliver a very well made and watchable flick with The Hunger Game… [+6692 chars]"
,/FILM,staff@slashfilm.com (Witney Seibold),The Marvels Star Iman Vellani Says The Box Office Is Disney CEO Bob Iger's Problem,The Marvels&amp;#39; Imran Vellani has wise words for those who wonder what she thinks about the MCU movie&amp;#39;s box office performance.,https://www.slashfilm.com/1451806/the-marvels-iman-vellani-box-office-disney-ceo-bob-iger-problem/,https://www.slashfilm.com/img/gallery/the-marvels-star-iman-vellani-says-the-box-office-is-disney-ceo-bob-igers-problem/l-intro-1700521910.jpg,2023-11-20T23:45:53Z,"Iman Vellani even called out Disney CEO Bob Iger by name, saying: ""I don't want to focus on something that's not even in my control, because what's the point? [...] That's for Bob Iger.""
Prior to th… [+1449 chars]"
,Digital Trends,Jason Struss,The Marvels: How many post-credits scenes are there in the latest MCU movie?,"With every MCU movie, fans have to know: Does it have an end credits scene? DT reveals how many post-credits scenes The Marvels has and who shows up at the end.",https://www.digitaltrends.com/movies/the-marvels-post-credits-scene-explanation/,https://www.digitaltrends.com/wp-content/uploads/2023/11/the-marvels-poster-a.jpg?resize=1200%2C630&p=1,2023-11-10T00:00:46Z,"Marvel Studios
It’s November, which means it’s time for the usual seasonal things: holiday movies no one wants to see; too many football games to keep track of; and sales on stuff you probably don’t… [+3524 chars]"
,HuffPost,Jazmin Tolliver,Jennifer Lawrence Dismisses Plastic Surgery Rumors After Speculation From Fans,The “Hunger Games” star chatted with Kylie Jenner about claims that she went under the knife in recent years.,https://www.huffpost.com/entry/jennifer-lawrence-addresses-plastic-surgery-rumors_n_6564f3fce4b0f35896f6f0c9,https://img.huffingtonpost.com/asset/6564f4fe240000bd17554525.jpeg?cache=AgScN1U1PO&ops=1200_630,2023-11-27T23:19:26Z,"Jennifer Lawrence is clearing the air after internet trolls speculated that the actor surgically altered her appearance. 
In a new conversation published in Interview, the No Hard Feelings star sat … [+4585 chars]"
,The Atlantic,Shirley Li,The Real Legacy of the Hunger Games Franchise,"The series succeeded not because it had a clear political philosophy, but because it understood the power of entertainment above all.",https://www.theatlantic.com/culture/archive/2023/11/hunger-games-franchise-cultural-influence/676033/?utm_source=feed,,2023-11-17T14:17:30Z,"Hollywood was never going to stop making more Hunger Games movies. Based on Suzanne Collins’s best-selling dystopian young-adult novels, the first four films released from 2012 to 2015 collectively g… [+6621 chars]"
,Gizmodo.com,Sabina Graves,This Gift Guide Will Bring Marvel Merriment to Your Holiday Season,"Image: Marvel
The whole family can channel their favorite Marvel characters with gifts inspired by the heroes and villains of the MCU, Spider-Man films, Disney+ shows like Loki and Ms. Marvel, and ‘90s X-Men cartoon throwbacks. This holiday season, be merry …",https://gizmodo.com/marvel-studios-disney-marvel-comics-style-gift-guide-1851060065,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/d38a646b9c213d28503f316759102dfb.jpg",2023-11-30T21:30:00Z,"The whole family can channel their favorite Marvel characters with gifts inspired by the heroes and villains of the MCU, Spider-Man films, Disney+ shows like Loki and Ms. Marvel, and 90s X-Men cartoo… [+342 chars]"
,The A.V. Club,Peter Scobel,The Marvels: what to watch before the new MCU movie,"In Binge Club, our experts break down all the films and TV shows you need to brush up on ahead of The Marvels",https://www.avclub.com/the-marvels-what-to-watch-before-the-new-mcu-movie-1851000708,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/c09a7fa80efd33bc749998804355e582.jpg",2023-11-07T22:09:04Z,"In Binge Club, our experts break down all the films and TV shows you need to brush up on ahead of The Marvels
We may earn a commission from links on this page."
the-verge,The Verge,Sheena Vasani,The Nintendo Switch OLED and Xbox Series X are on sale with a $75 Dell gift card,"The Nintendo Switch OLED and Xbox Series X are on sale at Dell. We also found deals on the Amazfit Band 7, the Nanoleaf Shapes Mini Triangles, and the iRobot Roomba i3 Plus Evo.",https://www.theverge.com/2023/11/10/23954803/nintendo-switch-oled-xbox-series-x-amazfit-band-7-deal-sale,https://cdn.vox-cdn.com/thumbor/Bh_fnAOghwC07h38qMZExteX6TE=/0x0:2040x1360/1200x628/filters:focal(1020x680:1021x681)/cdn.vox-cdn.com/uploads/chorus_asset/file/22873303/cfaulkner_210921_4751_0003.jpg,2023-11-10T17:00:48Z,"The Nintendo Switch OLED and Xbox Series X are on sale with a $75 Dell gift card
The Nintendo Switch OLED and Xbox Series X are on sale with a $75 Dell gift card
 / The Xbox Series X is also $50 of… [+3064 chars]"
,/FILM,staff@slashfilm.com (Valerie Ettenhofer),Ridley Scott's Napoleon Rides To A $33 Million Debut At The Thanksgiving Box Office,"Napoleon is battling Disney&amp;#39;s Wish for second place at the Thanksgiving box office, as Apple Original Films makes another bid for awards season prestige.",https://www.slashfilm.com/1455013/ridley-scott-napoleon-thanksgiving-box-office/,https://www.slashfilm.com/img/gallery/ridley-scotts-napoleon-rides-to-a-33-million-debut-at-the-thanksgiving-box-office/l-intro-1700939359.jpg,2023-11-25T19:17:21Z,"The film's initial haul is nothing to sneeze at, but it's also still far from recouping its costs: Variety puts the movie's production budget alone at $200 million, making it seem likely that this fi… [+1390 chars]"
,GoNintendo,quence,Five Nights at Freddy's is now Blumhouse's highest grossing film of all time,Another video game adaptation success story,https://gonintendo.com/contents/29213-five-nights-at-freddy-s-is-now-blumhouse-s-highest-grossing-film-of-all-time,https://gonintendo.com/attachments/image/40034/file/medium-24520ca93ecc562cb18c77dde1d9c52b.png,2023-11-28T21:51:00Z,"Five Nights at Freddys started breaking records at the box office right out of the gate, when it became production studio Blumhouses biggest opening weekend of all time, as well as the biggest debut … [+756 chars]"
,Deadline,Armando Tinoco,‘The Hunger Games’ Star Rachel Zegler Recalls Meeting Jennifer Lawrence Jokingly Wanting To Strangle Her For Photo,"Rachel Zegler stars in The Hunger Games: The Ballad of Songbirds & Snakes and recently recalled an encounter she had with OG star Jennifer Lawrence. While making an appearance on The Kelly Clarkson Show, Zegler opened up about meeting Lawrence during the Chri…",https://deadline.com/2023/11/the-hunger-games-rachel-zegler-meeting-jennifer-lawrence-1235618635/,https://deadline.com/wp-content/uploads/2023/11/hunger-games-jennifer-lawrence-rachel-zegler.jpg?w=1024,2023-11-18T23:40:12Z,"Rachel Zegler stars in The Hunger Games: The Ballad of Songbirds &amp; Snakes and recently recalled an encounter she had with OG star Jennifer Lawrence.
While making an appearance on The Kelly Clark… [+1555 chars]"
,Cracked.com,Ian Garner,Five Things About ‘Five Night at Freddy’s’ That Don’t Suck... Thank God This List Doesn’t Go to Six,"By Ian Garner Published: November 11th, 2023",https://trivia.cracked.com/article_40173_five-things-about-five-night-at-freddys-that-dont-suck-thank-god-this-list-doesnt-go-to-six.html,https://s3.crackedcdn.com/phpimages/article/4/8/5/962485.jpg,2023-11-11T17:30:00Z,"For the better part of a decade, Five Nights at Freddys has been haunting kids and adults alike from behind their computer screens. The point-and-click game harkens back to the kind of thing youd pla… [+6723 chars]"
,/FILM,staff@slashfilm.com (Chris Evangelista),Stephen King's The Long Walk Becoming A Movie From Hunger Games Director Francis Lawrence,"A film adaptation of Stephen King&amp;#39;s The Long Walk has been kicking around for a few years, and now Hunger Games director Francis Lawrence is attached to helm.",https://www.slashfilm.com/1456871/the-long-walk-movie-francis-lawrence-stephen-king/,https://www.slashfilm.com/img/gallery/stephen-kings-the-long-walk-becoming-a-movie-from-hunger-games-director-francis-lawrence/l-intro-1701188734.jpg,2023-11-28T16:34:26Z,"While speaking with Business Insider, Francis Lawrence, director of ""The Hunger Games: The Ballad of Songbirds and Snakes,"" revealed that he's now set to helm a film adaptation of Stephen King's ""The… [+1963 chars]"
,Screen Rant,Brady Entwistle,"Ballad Of Songbirds & Snakes: ""Hanging Tree"" Origins & Katniss Connection Explained By Hunger Games Director",The Hunger Games: The Ballad of Songbirds &amp; Snakes director explains the origins of &quot;The Hanging Tree&quot; song and its connection to Katniss Everdeen.,https://screenrant.com/hunger-games-ballad-songbirds-snakes-hanging-tree-katniss/,https://static1.srcdn.com/wordpress/wp-content/uploads/2023/10/lucy-gray-singing.jpg,2023-11-26T15:47:50Z,"Summary
<ul><li> ""The Hanging Tree"" in The Hunger Games: The Ballad of Songbirds &amp; Snakes is revealed to be written by Lucy Gray, who witnessed a hanging at The Hanging Tree. </li><li> Katniss E… [+3857 chars]"
,Livejournal.com,polynucleotide,Weekend Box Office: The Marvels bombs,"Box Office: 'The Marvels' Misfires With $47 Million, Lowest MCU Opening Weekend of All Time https://t.co/zVOUZMETVg
— Variety (@Variety) November 12, 2023The Marvels may have nabbed top spot at the box office this weekend, but that point is the only good thi…",https://ohnotheydidnt.livejournal.com/127221213.html,https://l-stat.livejournal.net/img/sign.png,2023-11-12T17:25:05Z,"Box Office: 'The Marvels' Misfires With $47 Million, Lowest MCU Opening Weekend of All Time https://t.co/zVOUZMETVg
— Variety (@Variety) November 12, 2023
The Marvels may have nabbed top spot at th… [+1442 chars]"
,Screen Rant,Kayla Laguerre-Lewis,Lucy Gray's Last Line In Ballad Of Songbirds & Snakes Sets Up Katniss Defeating Snow 65 Years Later,"65 years before Katniss appeared in The Hunger Games, Lucy Gray said something in The Ballad of Songbirds &amp; Snakes that foreshadowed her importance.",https://screenrant.com/ballad-songbirds-snakes-lucy-gray-last-line-katniss-snow-setup/,https://static1.srcdn.com/wordpress/wp-content/uploads/2023/11/lucy_lastline_sets_up_katniss_defeating_snow.jpg,2023-11-29T14:05:13Z,"Summary
<ul><li> Lucy Gray's seemingly inconsequential line about digging up Katniss foreshadows Snow's downfall at the hands of Katniss herself. </li><li> The Ballad of Songbirds &amp; Snakes is se… [+4212 chars]"
,Screen Rant,Brennan Klein,The Hunger Games: The Ballad Of Songbirds & Snakes Box Office Nears Crucial Milestone Globally,"The Hunger Games: The Ballad of Songbirds and Snakes is still trailing behind previous entries, but nears an important box office milestone.",https://screenrant.com/hunger-games-ballad-songbirds-snakes-box-office-global-200-million/,https://static1.srcdn.com/wordpress/wp-content/uploads/2023/11/rachel-zegler-as-lucy-gray-baird-in-the-hunger-games-arena-in-the-hunger-games-the-ballad-of-songbirds-and-snakes.jpg,2023-11-26T19:21:24Z,"Summary
<ul><li> The Hunger Games: The Ballad of Songbirds and Snakes is nearing an important box office milestone with a global gross of $197.2 million. </li><li> The prequel movie has earned an ad… [+2784 chars]"
,Gizmodo.com,Artem Golub,Director Francis Lawrence on Making Netflix's BioShock Film,The Hunger Games director chats with io9 about the upcoming video game movie.,https://gizmodo.com/director-francis-lawrence-on-making-netflixs-bioshock-1851066328,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/aa56273cdce7ccd0abecb1bec39b5af6.jpg",2023-12-04T17:50:00Z,"The Hunger Games director chats with io9 about the upcoming video game movie.
We may earn a commission from links on this page."
,/FILM,staff@slashfilm.com (Rafael Motamayor),"One Of The Most Striking Moments In Napoleon Kind Of Happened, But Not Really","Did The Battle of Austerlitz happen the way it is depicted in Ridley Scott&amp;#39;s new epic Napoleon? Well, not exactly.",https://www.slashfilm.com/1452618/one-of-the-most-striking-moments-in-napoleon-kind-of-happened/,https://www.slashfilm.com/img/gallery/one-of-the-most-striking-moments-in-napoleon-kind-of-happened-but-not-really/l-intro-1700595161.jpg,2023-11-23T16:00:13Z,"Sure, it'd be easy to criticize ""Napoleon"" for its historical inaccuracies, but the truth is that Napoleon's mind for logistics and organization isn't very cinematic. Besides, the sight of an army fa… [+1439 chars]"
,CBM (Comic Book Movie),JoshWilding,THE MARVELS Once Again Fails To Take Off At The Box Office Over Five-Day Thanksgiving Weekend,"There were hopes that The Marvels might recoup some of its losses over Thanksgiving, but it appears the Captain Marvel sequel's time making anything significant at the box office is already winding down...",https://comicbookmovie.com/captain-marvel/the-marvels/the-marvels-once-again-fails-to-take-off-at-the-box-office-over-five-day-thanksgiving-weekend-a208028,https://comicbookmovie.com/images/articles/banners/208028.jpg,2023-11-27T13:12:00Z,"The Marvels has proven to be a major box office disappointment for Marvel Studios, but it's far from the only movie to have significantly underperformed in November.
The Hunger Games: The Ballad of … [+2380 chars]"
,ComingSoon.net,Jeff Ames,Why Catching Fire is the Best Hunger Games Movie,"When The Hunger Games: Ballad of Songbirds & Snakes comes out this week, it’ll have some pretty big shoes to fill. Not only does it have to overcome the massive hole left behind by Jennifer Lawrence, whose performance in the original Hunger Games series catap…",https://www.comingsoon.net/movies/features/1404309-why-catching-fire-is-the-best-hunger-games-movie,"https://www.comingsoon.net/wp-content/uploads/sites/3/2023/11/lawrence.png?resize=1200,630",2023-11-16T23:00:00Z,"When The Hunger Games: Ballad of Songbirds &amp; Snakes comes out this week, itll have some pretty big shoes to fill. Not only does it have to overcome the massive hole left behind by Jennifer Lawren… [+6008 chars]"
ign,IGN,Jacob Kienlen,How to Watch the Hunger Games Movies in Chronological Order,Should you watch the prequel first?,https://www.ign.com/articles/the-hunger-games-movies-in-order,https://assets-prd.ignimgs.com/2022/04/28/mockingjay1118151280jpg-19b567-1651187649431.jpg?width=1280,2023-11-18T16:30:00Z,"In 2008 Suzanne Collins' unleashed The Hunger Games on the world, launching a bestselling book series that would become a globally beloved franchise. Continuing the legacy of satirical stories like B… [+8287 chars]"
,ComingSoon.net,Vansh Mehra,When Is Taylor Swift: The Eras Tour Movie Leaving Theaters & Cinemas?,"Hitting the theaters on October 13, 2023, the Taylor Swift: The Eras Tour movie has performed extremely well at the domestic and worldwide box office. But, soaring past its fourth weekend, many fans across the world are wondering when the Eras tour will leave…",https://www.comingsoon.net/guides/news/1393215-taylor-swift-the-eras-tour-movie-when-leaving-theaters-cinemas,"https://www.comingsoon.net/wp-content/uploads/sites/3/2023/11/taylor-swift-eras-tour-movie-leaving-theaters.jpg?resize=1200,630",2023-11-07T16:41:55Z,"Hitting the theaters on October 13, 2023, theTaylor Swift: The Eras Tour movie has performed extremely well at the domestic and worldwide box office. But, soaring past its fourth weekend, many fans a… [+1889 chars]"
,The A.V. Club,William Hughes,Let us all be thankful for Songbirds And Snakes at the Thanksgiving box office,"As far as holiday “weekends” go, American Thanksgiving has always been a bit of a weird one, box-office-wise. On the one hand, you have lots of people with a decent amount of free time suddenly sitting in their laps; on the other, a ton of cultural messaging …",https://www.avclub.com/let-us-all-be-thankful-for-songbirds-and-snakes-at-the-1851047413,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/e85ddd645fad99092c83d1f2b9f9ab61.jpg",2023-11-25T20:37:00Z,"As far as holiday weekends go, American Thanksgiving has always been a bit of a weird one, box-office-wise. On the one hand, you have lots of people with a decent amount of free time suddenly sitting… [+1590 chars]"
,Instapundit.com,Sarah Hoyt,"HAH! THAT BUS IS LONG GONE, BOB:  Bob Iger throws ‘The Marvels’ under the bus. CHASER:  Bob","HAH! THAT BUS IS LONG GONE, BOB:  Bob Iger throws ‘The Marvels’ under the bus. CHASER:  Bob Iger Admits Disney “Made Too Many” Marvel Sequels – But Blames ‘The Marvels’ Poor Box Office Performance On A Lack Of “Supervision On The Set”.",https://instapundit.com/619938/,https://instapundit.com/wp-content/themes/instapundit/images/opengraph-default.png,2023-12-02T06:33:43Z,"InstaPundit is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to provide a
 means for sites to earn advertising fees by advertising and linkin… [+15 chars]"
,Digital Trends,Anthony Orlando,"The best MCU sequels, ranked","While The Marvels isn't one of them, the MCU has produced many great sequels over the years. DT ranks the 10 best Marvel sequels ever.",https://www.digitaltrends.com/movies/the-best-mcu-sequels-ranked/,https://www.digitaltrends.com/wp-content/uploads/2018/04/infinitywar5a4bb0e7cdea1.jpg?resize=1200%2C630&p=1,2023-11-11T17:00:28Z,"Some say the sequels aren’t as good as the original, but the Marvel Cinematic Universe has successfully produced many noteworthy sequels over the years.
Some of these follow-ups have even been label… [+7603 chars]"
cbc-news,CBC News,,"Finding room for carry-on baggage has become 'the Hunger Games' of air travel, analyst says","Airline industry insiders say passengers have become carried away with carry-on baggage, leading to costly delays. That’s prompting calls for changes to how airplanes charge for baggage, with some discount airlines like Sunwing and Spirit already beginning to…",https://www.cbc.ca/radio/costofliving/carry-on-baggage-carried-away-1.7035013,https://i.cbc.ca/1.7037822.1700765300!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/airline-carry-on-baggage-overhead-bin-cabin-baggage-luggage.jpg,2023-11-25T09:00:00Z,"Flight attendant Cat Jones will never forget the day she spotted a woman carrying a wedding cake down the bridge to board her plane in Winnipeg.
When the passenger reached the door, Jones gently men… [+6555 chars]"
,IndieWire,Kate Erbland,"Vanessa Kirby Knows ‘Napoleon’ Is Funny, but That’s Only Part of the ‘Extreme’ World She Needed to Inhabit","The British actress steals the show in Ridley Scott's unhinged epic, and as she tells IndieWire, it's all part of her journey toward embracing what really excites her: the anti-hero.",https://www.indiewire.com/awards/consider-this/vanessa-kirby-napoleon-interview-1234930201/,https://www.indiewire.com/wp-content/uploads/2023/11/GettyImages-1793526104.jpg,2023-11-29T20:30:00Z,"[Editor’s note: The following interview contains some spoilers for Ridley Scott’s “Napoleon” — and the factual events on which it is based.]
“Napoleon” star Vanessa Kirby— cast in Ridley Scott’s spr… [+12462 chars]"
